    1024,  32,        32,     0.013
    2048,  32,        64,     0.032
    4096,  32,       128,     0.064
    8192,  32,       256,     0.101
   16384,  32,       512,     0.217
   32768,  32,      1024,     0.427
   65536,  32,      2048,     0.928
  131072,  32,      4096,     0.562
  262144,  32,      8192,     0.958
  524288,  32,     16384,     1.939
 1048576,  32,     32768,     3.143
 2097152,  32,     65536,     4.712
 4194304,  32,    131072,     6.377
 8388608,  32,    262144,     7.454
    1024,  64,        16,     0.018
    2048,  64,        32,     0.029
    4096,  64,        64,     0.048
    8192,  64,       128,     0.111
   16384,  64,       256,     0.277
   32768,  64,       512,     0.424
   65536,  64,      1024,     0.947
  131072,  64,      2048,     0.404
  262144,  64,      4096,     1.000
  524288,  64,      8192,     1.772
 1048576,  64,     16384,     3.875
 2097152,  64,     32768,     4.981
 4194304,  64,     65536,     6.792
 8388608,  64,    131072,     9.357
    1024, 128,         8,     0.019
    2048, 128,        16,     0.028
    4096, 128,        32,     0.054
    8192, 128,        64,     0.077
   16384, 128,       128,     0.198
   32768, 128,       256,     0.435
   65536, 128,       512,     1.069
  131072, 128,      1024,     0.606
  262144, 128,      2048,     0.768
  524288, 128,      4096,     2.261
 1048576, 128,      8192,     3.459
 2097152, 128,     16384,     4.796
 4194304, 128,     32768,     7.523
 8388608, 128,     65536,    11.152
    1024, 256,         4,     0.013
    2048, 256,         8,     0.023
    4096, 256,        16,     0.080
    8192, 256,        32,     0.118
   16384, 256,        64,     0.198
   32768, 256,       128,     0.388
   65536, 256,       256,     0.782
  131072, 256,       512,     0.447
  262144, 256,      1024,     0.783
  524288, 256,      2048,     1.884
 1048576, 256,      4096,     3.181
 2097152, 256,      8192,     5.945
 4194304, 256,     16384,     7.346
 8388608, 256,     32768,    10.305
    1024, 512,         2,     0.013
    2048, 512,         4,     0.030
    4096, 512,         8,     0.047
    8192, 512,        16,     0.112
   16384, 512,        32,     0.211
   32768, 512,        64,     0.399
   65536, 512,       128,     0.793
  131072, 512,       256,     0.537
  262144, 512,       512,     0.901
  524288, 512,      1024,     1.950
 1048576, 512,      2048,     2.770
 2097152, 512,      4096,     5.518
 4194304, 512,      8192,     8.443
 8388608, 512,     16384,    10.400
